date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-14:50:54,PCLOctree,Point,NoEncoding,10000000,neighborsPCLOct,sphere,1,10000,random,5,1.49497,0.298993,0.301346,0.00339314,1,0.304402,20152,0,40,dynamic,13015102,10467620,4910840
2025-07-09-14:51:01,PCLOctree,Point,NoEncoding,10000000,neighborsPCLOct,sphere,2,10000,random,5,5.69731,1.13946,1.1368,0.0087481,1,1.14814,80850,0,40,dynamic,47283836,39891119,18706022
2025-07-09-14:51:17,PCLOctree,Point,NoEncoding,10000000,neighborsPCLOct,sphere,3,10000,random,5,12.8249,2.56497,2.56292,0.0141044,1,2.57614,179478,0,40,dynamic,94447132,80672037,42583201
2025-07-09-14:51:24,PCLKDTree,Point,NoEncoding,10000000,neighborsPCLKD,sphere,0.5,10000,random,5,0.742321,0.148464,0.148188,0.00180415,1,0.149505,4998,0,40,dynamic,4560387,2566391,767383
2025-07-09-14:51:28,PCLKDTree,Point,NoEncoding,10000000,neighborsPCLKD,sphere,1,10000,random,5,3.12043,0.624086,0.623023,0.00567259,1,0.625848,20152,0,40,dynamic,21494323,16128603,3718468
2025-07-09-14:51:44,PCLKDTree,Point,NoEncoding,10000000,neighborsPCLKD,sphere,2,10000,random,5,13.7556,2.75111,2.74145,0.0241761,1,2.74189,80850,0,40,dynamic,95963871,84006860,28090430
2025-07-09-14:52:23,PCLKDTree,Point,NoEncoding,10000000,neighborsPCLKD,sphere,3,10000,random,5,32.4116,6.48231,6.46721,0.0426506,1,6.4798,179478,0,40,dynamic,229890557,211848480,83445757
2025-07-09-14:52:27,NanoflannKDTree,Point,NoEncoding,10000000,neighborsNanoflann,sphere,0.5,10000,random,5,0.557583,0.111517,0.111348,0.000759887,1,0.1133,4998,0,40,dynamic,6608264,5743703,3305377
2025-07-09-14:52:29,NanoflannKDTree,Point,NoEncoding,10000000,neighborsNanoflann,sphere,1,10000,random,5,1.97159,0.394318,0.393322,0.00419438,1,0.396167,20152,0,40,dynamic,17600025,15788647,9275610
2025-07-09-14:52:38,NanoflannKDTree,Point,NoEncoding,10000000,neighborsNanoflann,sphere,2,10000,random,5,7.40865,1.48173,1.47817,0.0117732,1,1.48093,80850,0,40,dynamic,73634398,68447414,43132189
2025-07-09-14:52:57,NanoflannKDTree,Point,NoEncoding,10000000,neighborsNanoflann,sphere,3,10000,random,5,16.0484,3.20968,3.20262,0.0259588,1,3.2161,179478,0,40,dynamic,153094332,144711882,94626235
2025-07-09-14:53:03,Octree,Point,MortonEncoder3D,10000000,neighborsPtr,circle,0.5,10000,random,5,1.80168,0.360336,0.362858,0.00639112,1,0.38209,13370,0,40,dynamic,11023260,14431971,8292050
2025-07-09-14:53:08,Octree,Point,MortonEncoder3D,10000000,neighborsPtr,circle,1,10000,random,5,4.50587,0.901173,0.907467,0.0105327,1,0.91931,41890,0,40,dynamic,29041130,37386084,21245263
2025-07-09-14:53:22,Octree,Point,MortonEncoder3D,10000000,neighborsPtr,circle,2,10000,random,5,11.5979,2.31958,2.35321,0.164471,1,2.5912,134263,0,40,dynamic,81685515,106413842,60603320
2025-07-09-14:53:46,Octree,Point,MortonEncoder3D,10000000,neighborsPtr,circle,3,10000,random,5,19.4673,3.89345,3.91459,0.0439855,1,3.97362,267895,0,40,dynamic,153277053,201806345,117504793
2025-07-09-14:53:46,Octree,Point,MortonEncoder3D,10000000,neighborsPtr,sphere,0.5,10000,random,5,0.439043,0.0878086,0.0879303,0.000527651,1,0.0881928,5014,0,40,dynamic,4135390,5150292,2936351
2025-07-09-14:53:48,Octree,Point,MortonEncoder3D,10000000,neighborsPtr,sphere,1,10000,random,5,1.55377,0.310755,0.310948,0.00233492,1,0.311984,20205,0,40,dynamic,15036119,18857647,10482687
2025-07-09-14:53:55,Octree,Point,MortonEncoder3D,10000000,neighborsPtr,sphere,2,10000,random,5,5.86698,1.1734,1.17414,0.00766433,1,1.17284,80809,0,40,dynamic,52189452,66750827,37970359
2025-07-09-14:54:10,Octree,Point,MortonEncoder3D,10000000,neighborsPtr,sphere,3,10000,random,5,12.6763,2.53525,2.54441,0.0190744,1,2.52365,179052,0,40,dynamic,109419993,142647862,83260787
2025-07-09-14:54:12,Octree,Point,MortonEncoder3D,10000000,neighborsPtr,square,0.5,10000,random,5,1.28996,0.257991,0.259174,0.00236758,1,0.257119,16388,0,40,dynamic,12075617,15672934,8452233
2025-07-09-14:54:16,Octree,Point,MortonEncoder3D,10000000,neighborsPtr,square,1,10000,random,5,3.35008,0.670016,0.669066,0.00650911,1,0.663901,51669,0,40,dynamic,31323256,40039264,21826164
2025-07-09-14:54:28,Octree,Point,MortonEncoder3D,10000000,neighborsPtr,square,2,10000,random,5,9.71994,1.94399,1.94268,0.00357096,1,1.93436,166045,0,40,dynamic,83818957,108608318,61925110
