date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-11-13:21:24,linear <Lpoint64, MortonEncoder> ,10000000,numNeighOldSearch,Square,1,10000,5,1.79522,0.359043,0.360395,0.0112386,1
2024-12-11-13:21:30,linear <Lpoint64, MortonEncoder> ,10000000,numNeighOldSearch,Sphere,2.5,10000,5,5.05152,1.0103,0.96619,0.0665085,1
2024-12-11-13:21:37,linear <Lpoint64, MortonEncoder> ,10000000,numNeighOldSearch,Circle,2.5,10000,5,6.19333,1.23867,1.26696,0.0394961,1
2024-12-11-13:21:43,linear <Lpoint64, MortonEncoder> ,10000000,numNeighOldSearch,Cube,2.5,10000,5,4.81866,0.963732,0.971934,0.0304088,1
2024-12-11-13:21:50,linear <Lpoint64, MortonEncoder> ,10000000,numNeighOldSearch,Square,2.5,10000,5,6.11327,1.22265,1.23342,0.0162535,1
2024-12-11-13:22:10,linear <Lpoint64, MortonEncoder> ,10000000,numNeighOldSearch,Sphere,5,10000,5,16.1982,3.23965,3.22147,0.0821718,1
2024-12-11-13:22:30,linear <Lpoint64, MortonEncoder> ,10000000,numNeighOldSearch,Circle,5,10000,5,17.1447,3.42895,3.44271,0.121204,1
2024-12-11-13:22:48,linear <Lpoint64, MortonEncoder> ,10000000,numNeighOldSearch,Cube,5,10000,5,14.9136,2.98272,2.96662,0.0618671,1
2024-12-11-13:23:09,linear <Lpoint64, MortonEncoder> ,10000000,numNeighOldSearch,Square,5,10000,5,17.3441,3.46882,3.38865,0.202145,1
2024-12-11-13:23:09,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Sphere,0.5,10000,5,0.363555,0.072711,0.0706271,0.00799526,1
2024-12-11-13:23:10,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Circle,0.5,10000,5,0.75236,0.150472,0.154889,0.00860966,1
2024-12-11-13:23:11,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Cube,0.5,10000,5,0.28742,0.057484,0.0526455,0.00894176,1
