date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Sphere,0.5,1000,5,0.0240556,0.00481112,0.00471272,0.000838577,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Circle,0.5,1000,5,0.0192779,0.00385559,0.0038295,0.00117495,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Cube,0.5,1000,5,0.0102248,0.00204496,0.00178393,0.000570209,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Square,0.5,1000,5,0.0141456,0.00282913,0.00281557,0.000292189,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Sphere,1,1000,5,0.0187858,0.00375715,0.00321524,0.00136868,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Circle,1,1000,5,0.0216027,0.00432053,0.00408214,0.000438215,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Cube,1,1000,5,0.0135285,0.00270571,0.00309006,0.00104822,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Square,1,1000,5,0.0237746,0.00475493,0.00461262,0.000350629,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Sphere,2.5,1000,5,0.0293336,0.00586673,0.00611424,0.00111373,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Circle,2.5,1000,5,0.0463678,0.00927357,0.00876902,0.000783326,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Cube,2.5,1000,5,0.0311391,0.00622782,0.00566021,0.000886335,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Square,2.5,1000,5,0.0490377,0.00980755,0.00953026,0.00146286,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Sphere,5,1000,5,0.0953231,0.0190646,0.0181161,0.00153487,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Circle,5,1000,5,0.120241,0.0240481,0.023762,0.00106091,1
2024-11-29-11:31:58,pointer <Lpoint> unsorted,14196538,neighSearch,Cube,5,1000,5,0.0966259,0.0193252,0.0195081,0.000495737,1
