date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-14:43:31,PCLOctree,Point,MortonEncoder3D,10000000,KNNPCLOCT,KNN,250,10000,random,5,0.122869,0.0245739,0.0245795,0.000140904,1,0.0246412,250,0,40,dynamic,213461,204696,163989
2025-07-09-14:43:32,PCLOctree,Point,MortonEncoder3D,10000000,KNNPCLOCT,KNN,500,10000,random,5,0.232892,0.0465784,0.0456517,0.00130705,1,0.0456941,500,0,40,dynamic,355441,319621,259814
2025-07-09-14:43:32,PCLOctree,Point,MortonEncoder3D,10000000,KNNPCLOCT,KNN,1000,10000,random,5,0.456266,0.0912532,0.0913966,0.000355696,1,0.091444,1000,0,40,dynamic,647002,544120,437042
2025-07-09-14:43:37,PCLKDTree,Point,MortonEncoder3D,10000000,neighborsPCLKD,KNN,10,10000,random,5,0.0102571,0.00205142,0.00203566,3.81021e-05,1,0.00477533,10,0,40,dynamic,25705,21488,13929
2025-07-09-14:43:37,PCLKDTree,Point,MortonEncoder3D,10000000,neighborsPCLKD,KNN,50,10000,random,5,0.0197499,0.00394999,0.00393756,3.17953e-05,1,0.00518993,50,0,40,dynamic,45312,42328,31996
2025-07-09-14:43:37,PCLKDTree,Point,MortonEncoder3D,10000000,neighborsPCLKD,KNN,250,10000,random,5,0.0893285,0.0178657,0.0178747,4.18292e-05,1,0.0178998,250,0,40,dynamic,142953,136388,105893
2025-07-09-14:43:37,PCLKDTree,Point,MortonEncoder3D,10000000,neighborsPCLKD,KNN,500,10000,random,5,0.146327,0.0292654,0.0292416,9.54191e-05,1,0.0295283,500,0,40,dynamic,273932,212616,167574
2025-07-09-14:43:38,PCLKDTree,Point,MortonEncoder3D,10000000,neighborsPCLKD,KNN,1000,10000,random,5,0.319023,0.0638046,0.0638695,0.000116115,1,0.062107,1000,0,40,dynamic,582087,361740,289599
2025-07-09-14:43:40,NanoflannKDTree,Point,MortonEncoder3D,10000000,KNNNanoflann,KNN,10,10000,random,5,0.0169018,0.00338037,0.00298187,0.000857962,1,0.00538353,10,0,40,dynamic,37529,48550,35241
2025-07-09-14:43:40,NanoflannKDTree,Point,MortonEncoder3D,10000000,KNNNanoflann,KNN,50,10000,random,5,0.0276519,0.00553037,0.00553734,7.48082e-05,1,0.00555006,50,0,40,dynamic,64311,87677,65013
2025-07-09-14:43:40,NanoflannKDTree,Point,MortonEncoder3D,10000000,KNNNanoflann,KNN,250,10000,random,5,0.0942481,0.0188496,0.0185959,0.000562793,1,0.0188802,250,0,40,dynamic,206112,252928,197726
2025-07-09-14:43:41,NanoflannKDTree,Point,MortonEncoder3D,10000000,KNNNanoflann,KNN,500,10000,random,5,0.252405,0.0504809,0.0502487,0.000373053,1,0.0504182,500,0,40,dynamic,345734,384451,317008
2025-07-09-14:43:42,NanoflannKDTree,Point,MortonEncoder3D,10000000,KNNNanoflann,KNN,1000,10000,random,5,0.814031,0.162806,0.162852,0.000476017,1,0.163609,1000,0,40,dynamic,670630,614980,509226
2025-07-09-14:43:44,LinearOctree,Point,HilbertEncoder3D,10000000,KNNV2,KNN,10,10000,random,5,0.0190736,0.00381473,0.00380068,2.08982e-05,1,0.00459039,10,0,40,dynamic,51644,50247,32724
2025-07-09-14:43:44,LinearOctree,Point,HilbertEncoder3D,10000000,KNNV2,KNN,50,10000,random,5,0.0339729,0.00679458,0.00681343,4.93702e-05,1,0.00695407,50,0,40,dynamic,100917,92401,66264
2025-07-09-14:43:44,LinearOctree,Point,HilbertEncoder3D,10000000,KNNV2,KNN,250,10000,random,5,0.0821986,0.0164397,0.0164321,0.000108067,1,0.0175056,250,0,40,dynamic,261369,190167,143417
