date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-06-01-10:43:07,pclKD,PCLPointXYZ,NoEncoding,10000000,neighborsPclKD,Sphere,3,10000,random,5,32.2264,6.44529,6.41808,0.0452942,1,6.43962,179478,0,40,dynamic
2025-06-01-10:43:13,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Circle,0.5,10000,random,5,1.90292,0.380584,0.380676,0.00704635,1,0.405077,13370,0,40,dynamic
2025-06-01-10:43:14,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,0.5,10000,random,5,0.631633,0.126327,0.126852,0.00190424,1,0.129619,5014,0,40,dynamic
2025-06-01-10:43:16,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Square,0.5,10000,random,5,1.81276,0.362553,0.362147,0.0012209,1,0.363337,16388,0,40,dynamic
2025-06-01-10:43:17,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Cube,0.5,10000,random,5,0.606037,0.121207,0.121504,0.00113145,1,0.122368,6671,0,40,dynamic
2025-06-01-10:43:22,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Circle,1,10000,random,5,4.58948,0.917896,0.918878,0.00655814,1,0.923228,41890,0,40,dynamic
2025-06-01-10:43:25,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,1,10000,random,5,2.09272,0.418543,0.41863,0.00305538,1,0.422973,20205,0,40,dynamic
2025-06-01-10:43:30,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Square,1,10000,random,5,4.57766,0.915532,0.913156,0.00658709,1,0.916118,51669,0,40,dynamic
2025-06-01-10:43:33,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Cube,1,10000,random,5,2.08673,0.417345,0.417027,0.00352977,1,0.416546,27041,0,40,dynamic
2025-06-01-10:43:48,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Circle,2,10000,random,5,13.0497,2.60993,2.6116,0.0172816,1,2.61357,134263,0,40,dynamic
2025-06-01-10:43:58,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,2,10000,random,5,7.85047,1.57009,1.56873,0.0106651,1,1.56877,80809,0,40,dynamic
2025-06-01-10:44:13,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Square,2,10000,random,5,12.5688,2.51376,2.57817,0.141624,1,2.63753,166045,0,40,dynamic
2025-06-01-10:44:21,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Cube,2,10000,random,5,7.04198,1.4084,1.41193,0.0100362,1,1.40115,108267,0,40,dynamic
2025-06-01-10:44:47,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Circle,3,10000,random,5,21.2195,4.2439,4.2471,0.0230066,1,4.23769,267895,0,40,dynamic
2025-06-01-10:45:05,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,3,10000,random,5,14.8257,2.96513,2.96422,0.0207143,1,2.95552,179052,0,40,dynamic
2025-06-01-10:45:31,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Square,3,10000,random,5,21.6646,4.33293,4.33216,0.0158708,1,4.32006,331283,0,40,dynamic
2025-06-01-10:45:49,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Cube,3,10000,random,5,15.0552,3.01103,3.02401,0.0263683,1,3.01203,240046,0,40,dynamic
2025-06-01-10:45:50,linOct,Point,MortonEncoder3D,10000000,neighbors,Circle,0.5,10000,random,5,0.886272,0.177254,0.176603,0.0014008,1,0.179517,13370,0,40,dynamic
2025-06-01-10:45:51,linOct,Point,MortonEncoder3D,10000000,neighbors,Sphere,0.5,10000,random,5,0.30681,0.0613619,0.0616201,0.000686909,1,0.0618974,5014,0,40,dynamic
2025-06-01-10:45:52,linOct,Point,MortonEncoder3D,10000000,neighbors,Square,0.5,10000,random,5,0.901707,0.180341,0.180654,0.00182014,1,0.180905,16388,0,40,dynamic
2025-06-01-10:45:52,linOct,Point,MortonEncoder3D,10000000,neighbors,Cube,0.5,10000,random,5,0.31099,0.062198,0.0624206,0.000485969,1,0.0619877,6671,0,40,dynamic
2025-06-01-10:45:53,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Circle,0.5,10000,random,5,0.593127,0.118625,0.118386,0.00047145,1,0.119249,13370,0,40,dynamic
2025-06-01-10:45:53,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Sphere,0.5,10000,random,5,0.166762,0.0333525,0.0333605,0.000249076,1,0.0335281,5014,0,40,dynamic
2025-06-01-10:45:54,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Square,0.5,10000,random,5,0.636166,0.127233,0.127244,0.000938356,1,0.126988,16388,0,40,dynamic
2025-06-01-10:45:54,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Cube,0.5,10000,random,5,0.184727,0.0369454,0.0370103,0.000233783,1,0.0370725,6671,0,40,dynamic
2025-06-01-10:45:54,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Circle,0.5,10000,random,5,0.526789,0.105358,0.105101,0.000800451,1,0.105776,13370,0,40,dynamic
2025-06-01-10:45:55,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Sphere,0.5,10000,random,5,0.15452,0.030904,0.0308797,0.000242854,1,0.0310252,5014,0,40,dynamic
2025-06-01-10:45:55,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Square,0.5,10000,random,5,0.533899,0.10678,0.10695,0.00110792,1,0.106653,16388,0,40,dynamic
