date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-06-01-10:56:58,pclKD,PCLPointXYZ,NoEncoding,29697591,neighborsPclKD,Sphere,0.2,10000,random,5,5.94378,1.18876,1.18732,0.0136866,1,1.21778,33559,0,40,dynamic
2025-06-01-10:57:10,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Circle,0.01,10000,random,5,0.281239,0.0562478,0.0564589,0.000457323,1,0.0572326,453,0,40,dynamic
2025-06-01-10:57:10,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Sphere,0.01,10000,random,5,0.0463969,0.00927939,0.00926596,4.4905e-05,1,0.00977962,70,0,40,dynamic
2025-06-01-10:57:10,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Square,0.01,10000,random,5,0.27819,0.055638,0.0553568,0.000554692,1,0.0561763,517,0,40,dynamic
2025-06-01-10:57:10,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Cube,0.01,10000,random,5,0.0459096,0.00918191,0.00917121,3.89094e-05,1,0.00921033,77,0,40,dynamic
2025-06-01-10:57:11,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Circle,0.05,10000,random,5,0.987748,0.19755,0.1993,0.00845201,1,0.209513,6312,0,40,dynamic
2025-06-01-10:57:12,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Sphere,0.05,10000,random,5,0.316166,0.0632332,0.0634781,0.000688586,1,0.0639221,2065,0,40,dynamic
2025-06-01-10:57:13,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Square,0.05,10000,random,5,0.905705,0.181141,0.181261,0.00187033,1,0.182752,7855,0,40,dynamic
2025-06-01-10:57:13,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Cube,0.05,10000,random,5,0.308971,0.0617941,0.0619186,0.000534411,1,0.0619586,3264,0,40,dynamic
2025-06-01-10:57:16,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Circle,0.1,10000,random,5,2.17024,0.434047,0.434107,0.00346082,1,0.433546,20160,0,40,dynamic
2025-06-01-10:57:17,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Sphere,0.1,10000,random,5,0.966818,0.193364,0.194168,0.00229985,1,0.192087,8553,0,40,dynamic
2025-06-01-10:57:20,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Square,0.1,10000,random,5,2.15623,0.431245,0.431,0.00251264,1,0.43182,24724,0,40,dynamic
2025-06-01-10:57:21,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Cube,0.1,10000,random,5,0.971136,0.194227,0.194498,0.00160465,1,0.192035,12690,0,40,dynamic
2025-06-01-10:57:28,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Circle,0.2,10000,random,5,5.81252,1.1625,1.16117,0.010244,1,1.17386,64026,0,40,dynamic
2025-06-01-10:57:32,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Sphere,0.2,10000,random,5,3.16059,0.632118,0.6319,0.00408248,1,0.633355,33083,0,40,dynamic
2025-06-01-10:57:39,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Square,0.2,10000,random,5,5.80117,1.16023,1.15642,0.0088877,1,1.1689,78440,0,40,dynamic
2025-06-01-10:57:42,ptrOct,Point,MortonEncoder3D,29697591,neighborsPtr,Cube,0.2,10000,random,5,3.20248,0.640495,0.638773,0.00362862,1,0.639081,46867,0,40,dynamic
2025-06-01-10:57:43,linOct,Point,MortonEncoder3D,29697591,neighbors,Circle,0.01,10000,random,5,0.134328,0.0268655,0.0267907,0.000210592,1,0.02844,453,0,40,dynamic
2025-06-01-10:57:44,linOct,Point,MortonEncoder3D,29697591,neighbors,Sphere,0.01,10000,random,5,0.0216946,0.00433892,0.00433939,4.21344e-05,1,0.00439481,70,0,40,dynamic
2025-06-01-10:57:44,linOct,Point,MortonEncoder3D,29697591,neighbors,Square,0.01,10000,random,5,0.135109,0.0270218,0.0270907,0.000175091,1,0.0274643,517,0,40,dynamic
2025-06-01-10:57:44,linOct,Point,MortonEncoder3D,29697591,neighbors,Cube,0.01,10000,random,5,0.0221668,0.00443335,0.004438,3.06702e-05,1,0.00447498,77,0,40,dynamic
2025-06-01-10:57:44,linOct,Point,MortonEncoder3D,29697591,neighborsPrune,Circle,0.01,10000,random,5,0.122523,0.0245046,0.0246164,0.000293894,1,0.0250578,453,0,40,dynamic
2025-06-01-10:57:44,linOct,Point,MortonEncoder3D,29697591,neighborsPrune,Sphere,0.01,10000,random,5,0.0177206,0.00354413,0.00352995,2.8708e-05,1,0.0035289,70,0,40,dynamic
2025-06-01-10:57:44,linOct,Point,MortonEncoder3D,29697591,neighborsPrune,Square,0.01,10000,random,5,0.128929,0.0257857,0.0258544,0.000178556,1,0.0260526,517,0,40,dynamic
2025-06-01-10:57:44,linOct,Point,MortonEncoder3D,29697591,neighborsPrune,Cube,0.01,10000,random,5,0.0210962,0.00421924,0.00421235,2.98836e-05,1,0.00425691,77,0,40,dynamic
2025-06-01-10:57:44,linOct,Point,MortonEncoder3D,29697591,neighborsStruct,Circle,0.01,10000,random,5,0.119813,0.0239627,0.0239652,0.000143986,1,0.0242079,453,0,40,dynamic
2025-06-01-10:57:44,linOct,Point,MortonEncoder3D,29697591,neighborsStruct,Sphere,0.01,10000,random,5,0.0179416,0.00358832,0.00358856,2.53693e-05,1,0.00358261,70,0,40,dynamic
2025-06-01-10:57:44,linOct,Point,MortonEncoder3D,29697591,neighborsStruct,Square,0.01,10000,random,5,0.122805,0.0245611,0.0245967,0.000147202,1,0.0248155,517,0,40,dynamic
2025-06-01-10:57:44,linOct,Point,MortonEncoder3D,29697591,neighborsStruct,Cube,0.01,10000,random,5,0.0212985,0.00425971,0.0042612,2.058e-05,1,0.00428609,77,0,40,dynamic
2025-06-01-10:57:45,linOct,Point,MortonEncoder3D,29697591,neighbors,Circle,0.05,10000,random,5,0.516741,0.103348,0.103215,0.000522779,1,0.103146,6312,0,40,dynamic
2025-06-01-10:57:45,linOct,Point,MortonEncoder3D,29697591,neighbors,Sphere,0.05,10000,random,5,0.17656,0.0353119,0.0352867,0.000335992,1,0.0355057,2065,0,40,dynamic
