date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-06-01-14:01:58,unibnOctree,Point,NoEncoding,429615314,neighborsUnibn,Sphere,0.01,429615314,sequential,1,160.031,160.031,160.031,0,0,3.20421e-312,456,0,40,dynamic
2025-06-01-14:08:04,unibnOctree,Point,NoEncoding,429615314,neighborsUnibn,Sphere,0.025,429615314,sequential,1,365.652,365.652,365.652,0,0,3.20421e-312,3711,0,40,dynamic
2025-06-01-14:23:32,unibnOctree,Point,NoEncoding,429615314,neighborsUnibn,Sphere,0.05,429615314,sequential,1,928.839,928.839,928.839,0,0,3.20421e-312,14526,0,40,dynamic
2025-06-01-14:28:41,unibnOctree,Point,MortonEncoder3D,429615314,neighborsUnibn,Sphere,0.01,429615314,sequential,1,169.496,169.496,169.496,0,0,3.20421e-312,456,0,40,dynamic
2025-06-01-14:34:07,unibnOctree,Point,MortonEncoder3D,429615314,neighborsUnibn,Sphere,0.025,429615314,sequential,1,325.939,325.939,325.939,0,0,3.20421e-312,3711,0,40,dynamic
2025-06-01-14:48:23,unibnOctree,Point,MortonEncoder3D,429615314,neighborsUnibn,Sphere,0.05,429615314,sequential,1,856.132,856.132,856.132,0,0,3.20421e-312,14526,0,40,dynamic
2025-06-01-14:53:44,unibnOctree,Point,HilbertEncoder3D,429615314,neighborsUnibn,Sphere,0.01,429615314,sequential,1,160.978,160.978,160.978,0,0,3.20421e-312,456,0,40,dynamic
2025-06-01-14:59:22,unibnOctree,Point,HilbertEncoder3D,429615314,neighborsUnibn,Sphere,0.025,429615314,sequential,1,337.904,337.904,337.904,0,0,3.20421e-312,3711,0,40,dynamic
2025-06-01-15:13:41,unibnOctree,Point,HilbertEncoder3D,429615314,neighborsUnibn,Sphere,0.05,429615314,sequential,1,858.664,858.664,858.664,0,0,3.20421e-312,14526,0,40,dynamic
2025-06-02-21:46:04,pclOct,PCLPointXYZ,NoEncoding,429615314,neighborsPclOct,Sphere,0.01,429615314,sequential,1,1489.73,1489.73,1489.73,0,0,0,470,0,40,dynamic
2025-06-02-22:26:37,pclOct,PCLPointXYZ,NoEncoding,429615314,neighborsPclOct,Sphere,0.025,429615314,sequential,1,2433.68,2433.68,2433.68,0,0,1.17884e-319,3704,0,40,dynamic
