date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,numNeighSearch,Sphere,10,1000,5,0.0405689,0.00811377,0.00857055,0.000819273,1
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,numNeighSearch,Circle,10,1000,5,0.0402034,0.00804067,0.00851459,0.0010302,1
2024-11-29-11:32:36,pointer <Lpoint> unsorted,17747769,numNeighSearch,Cube,10,1000,5,0.0370123,0.00740245,0.00791331,0.0016076,1
2024-11-29-11:32:37,pointer <Lpoint> unsorted,17747769,numNeighSearch,Square,10,1000,5,0.0423075,0.0084615,0.00858339,0.00114159,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Sphere,0.5,1000,5,0.0648845,0.0129769,0.0142778,0.00251734,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Circle,0.5,1000,5,0.0236722,0.00473444,0.00493906,0.00105794,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Cube,0.5,1000,5,0.013274,0.00265479,0.00262391,0.000880223,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Square,0.5,1000,5,0.0206555,0.0041311,0.00427367,0.000624303,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Sphere,1,1000,5,0.0111564,0.00223129,0.00229693,0.000363092,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Circle,1,1000,5,0.0281306,0.00562612,0.00567532,0.000658919,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Cube,1,1000,5,0.0188007,0.00376013,0.00397307,0.00142285,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Square,1,1000,5,0.0309218,0.00618437,0.00523355,0.00221897,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Sphere,2.5,1000,5,0.0356495,0.00712991,0.00617938,0.00227081,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Circle,2.5,1000,5,0.0627035,0.0125407,0.01263,0.00140163,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Cube,2.5,1000,5,0.0266663,0.00533325,0.00525799,0.000723112,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Square,2.5,1000,5,0.0611499,0.01223,0.0112715,0.00193189,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Sphere,5,1000,5,0.0746028,0.0149206,0.0146685,0.000912585,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Circle,5,1000,5,0.120208,0.0240417,0.024312,0.00119961,1
2024-11-29-11:32:43,linear <Lpoint> ,17747769,neighSearch,Cube,5,1000,5,0.0676158,0.0135232,0.0130869,0.000872727,1
2024-11-29-11:32:44,linear <Lpoint> ,17747769,neighSearch,Square,5,1000,5,0.123232,0.0246463,0.0245757,0.000669751,1
2024-11-29-11:32:44,linear <Lpoint> ,17747769,neighSearch,Sphere,10,1000,5,0.242077,0.0484153,0.0476753,0.00213418,1
2024-11-29-11:32:44,linear <Lpoint> ,17747769,neighSearch,Circle,10,1000,5,0.370291,0.0740582,0.0739491,0.00413204,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,neighSearch,Cube,10,1000,5,0.248826,0.0497653,0.049671,0.000559521,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,neighSearch,Square,10,1000,5,0.361073,0.0722146,0.0714309,0.00146584,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Sphere,0.5,1000,5,0.00911974,0.00182395,0.00143975,0.000730587,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Circle,0.5,1000,5,0.0164822,0.00329644,0.00349034,0.00144319,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Cube,0.5,1000,5,0.0174457,0.00348913,0.00413155,0.00115251,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Square,0.5,1000,5,0.0209715,0.00419429,0.00399519,0.000608621,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Sphere,1,1000,5,0.00884535,0.00176907,0.00163454,0.000722231,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Circle,1,1000,5,0.0116154,0.00232307,0.00277889,0.000884543,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Cube,1,1000,5,0.016159,0.0032318,0.00277455,0.00146114,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Square,1,1000,5,0.0262629,0.00525259,0.00533251,0.000615385,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Sphere,2.5,1000,5,0.00924797,0.00184959,0.00164172,0.000738732,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Circle,2.5,1000,5,0.0110867,0.00221734,0.00233329,0.000632743,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Cube,2.5,1000,5,0.0277599,0.00555199,0.00524274,0.000855505,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Square,2.5,1000,5,0.0551806,0.0110361,0.0114282,0.001002,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Sphere,5,1000,5,0.0102732,0.00205464,0.00227725,0.000704842,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Circle,5,1000,5,0.0105029,0.00210057,0.00207336,0.000594224,1
2024-11-29-11:32:45,linear <Lpoint> ,17747769,numNeighSearch,Cube,5,1000,5,0.0641066,0.0128213,0.0124362,0.000809662,1
2024-11-29-11:32:46,linear <Lpoint> ,17747769,numNeighSearch,Square,5,1000,5,0.126671,0.0253343,0.0258824,0.00186648,1
2024-11-29-11:32:46,linear <Lpoint> ,17747769,numNeighSearch,Sphere,10,1000,5,0.0173352,0.00346703,0.00369525,0.00128341,1
2024-11-29-11:32:46,linear <Lpoint> ,17747769,numNeighSearch,Circle,10,1000,5,0.0218132,0.00436263,0.00365066,0.00233736,1
2024-11-29-11:32:46,linear <Lpoint> ,17747769,numNeighSearch,Cube,10,1000,5,0.264611,0.0529221,0.0528465,0.00305698,1
2024-11-29-11:32:46,linear <Lpoint> ,17747769,numNeighSearch,Square,10,1000,5,0.326512,0.0653024,0.0651825,0.00154307,1
2024-11-29-11:32:47,pointer <Lpoint> sorted,17747769,neighSearch,Sphere,0.5,1000,5,0.0120367,0.00240735,0.00279935,0.000579971,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Circle,0.5,1000,5,0.0151531,0.00303061,0.00291212,0.000298808,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Cube,0.5,1000,5,0.0165604,0.00331208,0.0030677,0.000767253,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Square,0.5,1000,5,0.0197387,0.00394774,0.0038728,0.000858366,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Sphere,1,1000,5,0.0127705,0.00255409,0.00253441,0.000560136,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Circle,1,1000,5,0.0199533,0.00399066,0.00396878,0.000523366,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Cube,1,1000,5,0.0140909,0.00281819,0.00298181,0.000820464,1
