date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-06-01-11:25:06,pclKD,PCLPointXYZ,NoEncoding,429615314,neighborsPclKD,Sphere,0.2,10000,random,5,44.1024,8.82048,8.83223,0.0796731,1,8.8311,232689,0,40,dynamic
2025-06-01-11:28:15,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Circle,0.01,10000,random,5,5.95767,1.19153,1.20014,0.0164624,1,1.20165,25239,0,40,dynamic
2025-06-01-11:28:15,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Sphere,0.01,10000,random,5,0.144703,0.0289405,0.0289202,0.000134615,1,0.0292327,453,0,40,dynamic
2025-06-01-11:28:22,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Square,0.01,10000,random,5,5.97265,1.19453,1.20387,0.0166403,1,1.18557,28010,0,40,dynamic
2025-06-01-11:28:23,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Cube,0.01,10000,random,5,0.143909,0.0287818,0.0287121,0.000200468,1,0.0288264,500,0,40,dynamic
2025-06-01-11:29:05,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Circle,0.05,10000,random,5,35.4854,7.09708,7.11528,0.130396,1,6.98577,285771,0,40,dynamic
2025-06-01-11:29:07,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Sphere,0.05,10000,random,5,1.95591,0.391182,0.389609,0.00343739,1,0.390605,14461,0,40,dynamic
2025-06-01-11:29:50,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Square,0.05,10000,random,5,35.8923,7.17847,7.17089,0.120411,1,7.10329,323961,0,40,dynamic
2025-06-01-11:29:53,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Cube,0.05,10000,random,5,1.99846,0.399691,0.398597,0.00290089,1,0.398558,21326,0,40,dynamic
2025-06-01-11:31:31,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Circle,0.1,10000,random,5,82.0402,16.408,16.4162,0.357251,1,16.1918,733150,0,40,dynamic
2025-06-01-11:31:40,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Sphere,0.1,10000,random,5,7.21763,1.44353,1.44488,0.009426,1,1.42804,58403,0,40,dynamic
2025-06-01-11:33:17,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Square,0.1,10000,random,5,81.5021,16.3004,16.3208,0.267484,1,16.0997,822445,0,40,dynamic
2025-06-01-11:33:26,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Cube,0.1,10000,random,5,7.5064,1.50128,1.49944,0.0105429,1,1.48871,82382,0,40,dynamic
2025-06-01-11:37:19,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Circle,0.2,10000,random,5,194.701,38.9401,38.9581,0.584821,1,38.2542,1873001,0,40,dynamic
2025-06-01-11:37:53,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Sphere,0.2,10000,random,5,27.773,5.55461,5.54848,0.0300831,1,5.53262,230987,0,40,dynamic
2025-06-01-11:41:54,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Square,0.2,10000,random,5,202.303,40.4606,40.5554,0.879939,1,38.8163,2106487,0,40,dynamic
2025-06-01-11:42:30,ptrOct,Point,MortonEncoder3D,429615314,neighborsPtr,Cube,0.2,10000,random,5,30.1489,6.02977,6.02634,0.0328456,1,5.95436,319446,0,40,dynamic
2025-06-01-11:42:54,linOct,Point,MortonEncoder3D,429615314,neighbors,Circle,0.01,10000,random,5,3.59665,0.719329,0.723175,0.00979689,1,0.727794,25239,0,40,dynamic
2025-06-01-11:42:54,linOct,Point,MortonEncoder3D,429615314,neighbors,Sphere,0.01,10000,random,5,0.0802518,0.0160504,0.0160207,0.00016158,1,0.016299,453,0,40,dynamic
2025-06-01-11:42:58,linOct,Point,MortonEncoder3D,429615314,neighbors,Square,0.01,10000,random,5,3.61269,0.722538,0.727676,0.0110294,1,0.719447,28010,0,40,dynamic
