date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-06-01-10:32:19,pclKD,PCLPointXYZ,NoEncoding,10000000,neighborsPclKD,Sphere,3,10000,random,5,11.4034,2.28068,2.28105,0.0140314,1,2.26852,71234,0,40,dynamic
2025-06-01-10:32:23,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Circle,0.5,10000,random,5,0.863563,0.172713,0.171412,0.00311016,1,0.179833,5221,0,40,dynamic
2025-06-01-10:32:23,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,0.5,10000,random,5,0.334813,0.0669626,0.0671154,0.000780183,1,0.0686813,2057,0,40,dynamic
2025-06-01-10:32:24,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Square,0.5,10000,random,5,0.821025,0.164205,0.163962,0.000867274,1,0.164603,6323,0,40,dynamic
2025-06-01-10:32:25,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Cube,0.5,10000,random,5,0.319542,0.0639083,0.0638167,0.000625024,1,0.0648082,2756,0,40,dynamic
2025-06-01-10:32:27,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Circle,1,10000,random,5,1.756,0.3512,0.349754,0.00268636,1,0.356414,14950,0,40,dynamic
2025-06-01-10:32:28,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,1,10000,random,5,0.969216,0.193843,0.193844,0.00248686,1,0.198386,8276,0,40,dynamic
2025-06-01-10:32:30,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Square,1,10000,random,5,1.70247,0.340495,0.340873,0.000922777,1,0.341513,18309,0,40,dynamic
2025-06-01-10:32:31,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Cube,1,10000,random,5,0.933992,0.186798,0.186531,0.0012967,1,0.18865,11184,0,40,dynamic
2025-06-01-10:32:37,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Circle,2,10000,random,5,4.55294,0.910589,0.911886,0.00447388,1,0.918286,45407,0,40,dynamic
2025-06-01-10:32:40,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,2,10000,random,5,3.25863,0.651726,0.649345,0.00543159,1,0.660812,32768,0,40,dynamic
2025-06-01-10:32:46,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Square,2,10000,random,5,4.59633,0.919265,0.919121,0.0015226,1,0.921559,56005,0,40,dynamic
2025-06-01-10:32:50,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Cube,2,10000,random,5,3.30712,0.661424,0.661004,0.00431599,1,0.666574,43668,0,40,dynamic
2025-06-01-10:33:00,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Circle,3,10000,random,5,8.54019,1.70804,1.70688,0.00604395,1,1.71996,89734,0,40,dynamic
2025-06-01-10:33:09,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Sphere,3,10000,random,5,6.90788,1.38158,1.37937,0.0109522,1,1.3931,71896,0,40,dynamic
2025-06-01-10:33:19,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Square,3,10000,random,5,8.86012,1.77202,1.77541,0.00818374,1,1.77565,111599,0,40,dynamic
2025-06-01-10:33:28,ptrOct,Point,MortonEncoder3D,10000000,neighborsPtr,Cube,3,10000,random,5,7.14438,1.42888,1.42262,0.0141035,1,1.44356,95360,0,40,dynamic
2025-06-01-10:33:29,linOct,Point,MortonEncoder3D,10000000,neighbors,Circle,0.5,10000,random,5,0.495181,0.0990362,0.0991624,0.000516483,1,0.100325,5221,0,40,dynamic
2025-06-01-10:33:29,linOct,Point,MortonEncoder3D,10000000,neighbors,Sphere,0.5,10000,random,5,0.18769,0.0375379,0.0375354,0.000170003,1,0.0377793,2057,0,40,dynamic
2025-06-01-10:33:30,linOct,Point,MortonEncoder3D,10000000,neighbors,Square,0.5,10000,random,5,0.496957,0.0993915,0.099212,0.000495938,1,0.0992333,6323,0,40,dynamic
2025-06-01-10:33:30,linOct,Point,MortonEncoder3D,10000000,neighbors,Cube,0.5,10000,random,5,0.189023,0.0378047,0.0377361,0.000157224,1,0.0378654,2756,0,40,dynamic
2025-06-01-10:33:30,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Circle,0.5,10000,random,5,0.395927,0.0791855,0.0791006,0.000502223,1,0.0788693,5221,0,40,dynamic
2025-06-01-10:33:30,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Sphere,0.5,10000,random,5,0.127111,0.0254222,0.0254306,0.00011747,1,0.0255871,2057,0,40,dynamic
2025-06-01-10:33:31,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Square,0.5,10000,random,5,0.413684,0.0827368,0.0827968,0.000369426,1,0.0830189,6323,0,40,dynamic
2025-06-01-10:33:31,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Cube,0.5,10000,random,5,0.140601,0.0281202,0.028151,8.11673e-05,1,0.0282376,2756,0,40,dynamic
2025-06-01-10:33:31,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Circle,0.5,10000,random,5,0.375432,0.0750863,0.0751069,0.000205051,1,0.0750152,5221,0,40,dynamic
2025-06-01-10:33:32,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Sphere,0.5,10000,random,5,0.123036,0.0246072,0.0246654,0.000127714,1,0.0246737,2057,0,40,dynamic
2025-06-01-10:33:32,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Square,0.5,10000,random,5,0.379114,0.0758227,0.0756962,0.000493543,1,0.0758845,6323,0,40,dynamic
2025-06-01-10:33:32,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Cube,0.5,10000,random,5,0.13184,0.026368,0.0264107,9.89193e-05,1,0.0265895,2756,0,40,dynamic
2025-06-01-10:33:34,linOct,Point,MortonEncoder3D,10000000,neighbors,Circle,1,10000,random,5,1.08777,0.217553,0.217469,0.00038249,1,0.216303,14950,0,40,dynamic
2025-06-01-10:33:34,linOct,Point,MortonEncoder3D,10000000,neighbors,Sphere,1,10000,random,5,0.595622,0.119124,0.119132,0.000528574,1,0.119386,8276,0,40,dynamic
2025-06-01-10:33:36,linOct,Point,MortonEncoder3D,10000000,neighbors,Square,1,10000,random,5,1.08536,0.217072,0.216646,0.00107959,1,0.217916,18309,0,40,dynamic
2025-06-01-10:33:36,linOct,Point,MortonEncoder3D,10000000,neighbors,Cube,1,10000,random,5,0.598988,0.119798,0.119902,0.000597396,1,0.120041,11184,0,40,dynamic
2025-06-01-10:33:37,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Circle,1,10000,random,5,0.62827,0.125654,0.12575,0.000539071,1,0.125609,14950,0,40,dynamic
2025-06-01-10:33:37,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Sphere,1,10000,random,5,0.289355,0.057871,0.0578961,0.000164553,1,0.0580343,8276,0,40,dynamic
2025-06-01-10:33:38,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Square,1,10000,random,5,0.649943,0.129989,0.129946,0.000401269,1,0.130219,18309,0,40,dynamic
2025-06-01-10:33:39,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Cube,1,10000,random,5,0.319438,0.0638876,0.063953,0.000202591,1,0.0641487,11184,0,40,dynamic
2025-06-01-10:33:39,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Circle,1,10000,random,5,0.569564,0.113913,0.113873,0.000194259,1,0.114007,14950,0,40,dynamic
2025-06-01-10:33:40,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Sphere,1,10000,random,5,0.268001,0.0536002,0.0536901,0.000220245,1,0.0536454,8276,0,40,dynamic
2025-06-01-10:33:40,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Square,1,10000,random,5,0.56859,0.113718,0.113759,0.000549347,1,0.113522,18309,0,40,dynamic
2025-06-01-10:33:41,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Cube,1,10000,random,5,0.284468,0.0568936,0.0569636,0.000232738,1,0.0570186,11184,0,40,dynamic
2025-06-01-10:33:44,linOct,Point,MortonEncoder3D,10000000,neighbors,Circle,2,10000,random,5,2.90227,0.580455,0.581244,0.00187673,1,0.582679,45407,0,40,dynamic
2025-06-01-10:33:47,linOct,Point,MortonEncoder3D,10000000,neighbors,Sphere,2,10000,random,5,2.07451,0.414903,0.413755,0.00321732,1,0.41802,32768,0,40,dynamic
2025-06-01-10:33:50,linOct,Point,MortonEncoder3D,10000000,neighbors,Square,2,10000,random,5,3.00793,0.601585,0.601126,0.00315521,1,0.602814,56005,0,40,dynamic
2025-06-01-10:33:53,linOct,Point,MortonEncoder3D,10000000,neighbors,Cube,2,10000,random,5,2.17554,0.435107,0.434326,0.00319727,1,0.436212,43668,0,40,dynamic
2025-06-01-10:33:54,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Circle,2,10000,random,5,1.06798,0.213595,0.21393,0.000705775,1,0.214143,45407,0,40,dynamic
2025-06-01-10:33:55,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Sphere,2,10000,random,5,0.660633,0.132127,0.132085,0.000383813,1,0.132857,32768,0,40,dynamic
2025-06-01-10:33:56,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Square,2,10000,random,5,1.16472,0.232944,0.232766,0.000685064,1,0.234975,56005,0,40,dynamic
2025-06-01-10:33:57,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Cube,2,10000,random,5,0.761007,0.152201,0.15211,0.000678199,1,0.152939,43668,0,40,dynamic
2025-06-01-10:33:58,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Circle,2,10000,random,5,0.881312,0.176262,0.176278,0.00040231,1,0.176407,45407,0,40,dynamic
2025-06-01-10:33:59,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Sphere,2,10000,random,5,0.559048,0.11181,0.1118,0.000488285,1,0.112257,32768,0,40,dynamic
2025-06-01-10:34:00,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Square,2,10000,random,5,0.886718,0.177344,0.177508,0.000402828,1,0.176853,56005,0,40,dynamic
2025-06-01-10:34:01,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Cube,2,10000,random,5,0.587035,0.117407,0.117378,0.000291103,1,0.118277,43668,0,40,dynamic
2025-06-01-10:34:07,linOct,Point,MortonEncoder3D,10000000,neighbors,Circle,3,10000,random,5,5.69228,1.13846,1.1408,0.00414126,1,1.14401,89734,0,40,dynamic
2025-06-01-10:34:13,linOct,Point,MortonEncoder3D,10000000,neighbors,Sphere,3,10000,random,5,4.57137,0.914273,0.912589,0.00639449,1,0.921317,71896,0,40,dynamic
2025-06-01-10:34:20,linOct,Point,MortonEncoder3D,10000000,neighbors,Square,3,10000,random,5,5.92518,1.18504,1.18584,0.00546298,1,1.18851,111599,0,40,dynamic
2025-06-01-10:34:26,linOct,Point,MortonEncoder3D,10000000,neighbors,Cube,3,10000,random,5,4.80365,0.96073,0.958232,0.009377,1,0.968385,95360,0,40,dynamic
2025-06-01-10:34:28,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Circle,3,10000,random,5,1.69958,0.339915,0.340412,0.000713012,1,0.341377,89734,0,40,dynamic
2025-06-01-10:34:29,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Sphere,3,10000,random,5,1.17586,0.235172,0.234415,0.00126774,1,0.23783,71896,0,40,dynamic
2025-06-01-10:34:32,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Square,3,10000,random,5,1.96821,0.393642,0.393828,0.00153643,1,0.396409,111599,0,40,dynamic
2025-06-01-10:34:33,linOct,Point,MortonEncoder3D,10000000,neighborsPrune,Cube,3,10000,random,5,1.43562,0.287123,0.287752,0.00123901,1,0.289456,95360,0,40,dynamic
2025-06-01-10:34:35,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Circle,3,10000,random,5,1.16612,0.233223,0.233112,0.000496809,1,0.234129,89734,0,40,dynamic
2025-06-01-10:34:36,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Sphere,3,10000,random,5,0.828615,0.165723,0.165533,0.000557357,1,0.166262,71896,0,40,dynamic
2025-06-01-10:34:37,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Square,3,10000,random,5,1.18754,0.237509,0.237572,0.000391364,1,0.239398,111599,0,40,dynamic
2025-06-01-10:34:38,linOct,Point,MortonEncoder3D,10000000,neighborsStruct,Cube,3,10000,random,5,0.88107,0.176214,0.175936,0.00054141,1,0.176766,95360,0,40,dynamic
2025-06-01-10:34:39,unibnOctree,Point,MortonEncoder3D,10000000,neighborsUnibn,Sphere,0.5,10000,random,5,0.156321,0.0312642,0.0312784,0.00022729,1,0.0320542,2057,0,40,dynamic
2025-06-01-10:34:39,unibnOctree,Point,MortonEncoder3D,10000000,neighborsUnibn,Cube,0.5,10000,random,5,0.163668,0.0327337,0.032771,0.000109441,1,0.0329905,2756,0,40,dynamic
2025-06-01-10:34:40,unibnOctree,Point,MortonEncoder3D,10000000,neighborsUnibn,Sphere,1,10000,random,5,0.343544,0.0687089,0.0689162,0.000388253,1,0.0694023,8276,0,40,dynamic
2025-06-01-10:34:40,unibnOctree,Point,MortonEncoder3D,10000000,neighborsUnibn,Cube,1,10000,random,5,0.36917,0.0738339,0.0738706,0.00032873,1,0.0742422,11184,0,40,dynamic
2025-06-01-10:34:41,unibnOctree,Point,MortonEncoder3D,10000000,neighborsUnibn,Sphere,2,10000,random,5,0.777341,0.155468,0.155396,0.000566125,1,0.155799,32768,0,40,dynamic
2025-06-01-10:34:42,unibnOctree,Point,MortonEncoder3D,10000000,neighborsUnibn,Cube,2,10000,random,5,0.856948,0.17139,0.170947,0.000874287,1,0.17276,43668,0,40,dynamic
2025-06-01-10:34:44,unibnOctree,Point,MortonEncoder3D,10000000,neighborsUnibn,Sphere,3,10000,random,5,1.32081,0.264161,0.263419,0.00116339,1,0.264387,71896,0,40,dynamic
2025-06-01-10:34:46,unibnOctree,Point,MortonEncoder3D,10000000,neighborsUnibn,Cube,3,10000,random,5,1.5445,0.308901,0.308276,0.00193372,1,0.31069,95360,0,40,dynamic
2025-06-01-10:34:49,pclKD,PCLPointXYZ,MortonEncoder3D,10000000,neighborsPclKD,Sphere,0.5,10000,random,5,0.333867,0.0667733,0.0667271,0.00200159,1,0.0699442,2057,0,40,dynamic
2025-06-01-10:34:50,pclKD,PCLPointXYZ,MortonEncoder3D,10000000,neighborsPclKD,Sphere,1,10000,random,5,1.17762,0.235523,0.235125,0.00225012,1,0.244485,8276,0,40,dynamic
2025-06-01-10:34:56,pclKD,PCLPointXYZ,MortonEncoder3D,10000000,neighborsPclKD,Sphere,2,10000,random,5,4.91022,0.982045,0.980744,0.00839751,1,0.991626,32768,0,40,dynamic
2025-06-01-10:35:10,pclKD,PCLPointXYZ,MortonEncoder3D,10000000,neighborsPclKD,Sphere,3,10000,random,5,11.3396,2.26793,2.26055,0.0206617,1,2.28735,71896,0,40,dynamic
2025-06-01-10:35:14,ptrOct,Point,HilbertEncoder3D,10000000,neighborsPtr,Circle,0.5,10000,random,5,0.742275,0.148455,0.148511,0.00251207,1,0.153193,5148,0,40,dynamic
2025-06-01-10:35:15,ptrOct,Point,HilbertEncoder3D,10000000,neighborsPtr,Sphere,0.5,10000,random,5,0.298519,0.0597039,0.059626,0.000339984,1,0.06029,2063,0,40,dynamic
2025-06-01-10:35:15,ptrOct,Point,HilbertEncoder3D,10000000,neighborsPtr,Square,0.5,10000,random,5,0.723495,0.144699,0.145174,0.00169864,1,0.143745,6241,0,40,dynamic
2025-06-01-10:35:16,ptrOct,Point,HilbertEncoder3D,10000000,neighborsPtr,Cube,0.5,10000,random,5,0.292132,0.0584264,0.0584491,0.00013418,1,0.0588667,2761,0,40,dynamic
2025-06-01-10:35:18,ptrOct,Point,HilbertEncoder3D,10000000,neighborsPtr,Circle,1,10000,random,5,1.58039,0.316077,0.318002,0.0036171,1,0.316372,14817,0,40,dynamic
2025-06-01-10:35:19,ptrOct,Point,HilbertEncoder3D,10000000,neighborsPtr,Sphere,1,10000,random,5,0.890576,0.178115,0.177867,0.00106008,1,0.180609,8296,0,40,dynamic
2025-06-01-10:35:21,ptrOct,Point,HilbertEncoder3D,10000000,neighborsPtr,Square,1,10000,random,5,1.54585,0.30917,0.309902,0.00229318,1,0.306213,18151,0,40,dynamic
2025-06-01-10:35:22,ptrOct,Point,HilbertEncoder3D,10000000,neighborsPtr,Cube,1,10000,random,5,0.855518,0.171104,0.175011,0.00625367,1,0.176769,11199,0,40,dynamic
