date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-15:36:34,PCLOctree,Point,NoEncoding,429615314,neighborsPCLOct,sphere,0.05,10000,random,5,1.98669,0.397339,0.393792,0.00525481,1,0.393934,14476,0,40,dynamic,12869798,14243976,6971733
2025-07-09-15:36:39,PCLOctree,Point,NoEncoding,429615314,neighborsPCLOct,sphere,0.1,10000,random,5,4.46694,0.893388,0.890956,0.00573395,1,0.899504,58628,0,40,dynamic,30981190,35159011,16315334
2025-07-09-15:36:54,PCLOctree,Point,NoEncoding,429615314,neighborsPCLOct,sphere,0.2,10000,random,5,12.6389,2.52779,2.52411,0.0260159,1,2.54319,232689,0,40,dynamic,79545933,94493735,43795723
2025-07-09-15:41:36,PCLKDTree,Point,NoEncoding,429615314,neighborsPCLKD,sphere,0.01,10000,random,5,0.0850156,0.0170031,0.0166284,0.000781704,1,0.0195966,468,0,40,dynamic,286775,161849,112036
2025-07-09-15:41:39,PCLKDTree,Point,NoEncoding,429615314,neighborsPCLKD,sphere,0.05,10000,random,5,2.29344,0.458688,0.457351,0.00382187,1,0.45655,14476,0,40,dynamic,15321169,10927708,2381825
2025-07-09-15:41:51,PCLKDTree,Point,NoEncoding,429615314,neighborsPCLKD,sphere,0.1,10000,random,5,9.95873,1.99175,1.98477,0.0197902,1,1.98774,58628,0,40,dynamic,69765794,59204948,19660460
2025-07-09-15:42:43,PCLKDTree,Point,NoEncoding,429615314,neighborsPCLKD,sphere,0.2,10000,random,5,43.4976,8.69951,8.69508,0.0849254,1,8.69124,232689,0,40,dynamic,315291601,296607855,126451521
2025-07-09-15:46:32,NanoflannKDTree,Point,NoEncoding,429615314,neighborsNanoflann,sphere,0.01,10000,random,5,0.0808798,0.016176,0.0160792,0.00184612,1,0.016663,455,0,40,dynamic,362534,349167,253412
2025-07-09-15:46:33,NanoflannKDTree,Point,NoEncoding,429615314,neighborsNanoflann,sphere,0.05,10000,random,5,1.01069,0.202138,0.201643,0.000963206,1,0.204177,14484,0,40,dynamic,7256031,7841838,3702708
2025-07-09-15:46:38,NanoflannKDTree,Point,NoEncoding,429615314,neighborsNanoflann,sphere,0.1,10000,random,5,3.98329,0.796657,0.798592,0.00798158,1,0.797596,58634,0,40,dynamic,18230656,20798046,10767991
2025-07-09-15:46:57,NanoflannKDTree,Point,NoEncoding,429615314,neighborsNanoflann,sphere,0.2,10000,random,5,15.7869,3.15739,3.15465,0.0266236,1,3.16096,232692,0,40,dynamic,87055532,101936341,58049707
2025-07-09-15:49:44,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,circle,0.01,10000,random,5,5.6688,1.13376,1.14114,0.0156733,1,1.10371,25239,0,40,dynamic,17008818,25846490,15327914
2025-07-09-15:50:23,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,circle,0.05,10000,random,5,32.441,6.48819,6.45974,0.182892,1,6.5369,285771,0,40,dynamic,81900720,115194734,70165595
2025-07-09-15:51:54,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,circle,0.1,10000,random,5,76.1102,15.222,15.2136,0.24356,1,14.8892,733150,0,40,dynamic,229811793,323732021,198490988
2025-07-09-15:55:49,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,circle,0.2,10000,random,5,196.571,39.3142,39.1691,0.558361,1,37.9261,1873001,0,40,dynamic,524534218,726728538,450428338
2025-07-09-15:55:49,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,sphere,0.01,10000,random,5,0.139171,0.0278341,0.0277426,0.000237303,1,0.0288647,453,0,40,dynamic,452078,605245,390371
2025-07-09-15:55:51,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,sphere,0.05,10000,random,5,1.87678,0.375357,0.375538,0.00232901,1,0.373743,14461,0,40,dynamic,6493918,8481297,5019087
2025-07-09-15:56:00,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,sphere,0.1,10000,random,5,7.12986,1.42597,1.43005,0.0116774,1,1.41332,58403,0,40,dynamic,23905760,31980006,19157220
2025-07-09-15:56:32,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,sphere,0.2,10000,random,5,27.1059,5.42118,5.43537,0.0538324,1,5.41804,230987,0,40,dynamic,89716455,121927101,75576032
