date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-11-29-11:20:50,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,0.5,1000,5,0.065689,0.0131378,0.0134088,0.000926157,1
2024-11-29-11:20:51,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,0.5,1000,5,0.13465,0.02693,0.0272651,0.00141815,1
2024-11-29-11:20:51,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,0.5,1000,5,0.0741332,0.0148266,0.0145033,0.00119034,1
2024-11-29-11:20:51,pointer <Lpoint> unsorted,10000000,neighSearch,Square,0.5,1000,5,0.166741,0.0333482,0.0290074,0.00731223,1
2024-11-29-11:20:51,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,1,1000,5,0.205147,0.0410295,0.0413283,0.00101228,1
2024-11-29-11:20:52,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,1,1000,5,0.347045,0.069409,0.0672571,0.00291288,1
2024-11-29-11:20:52,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,1,1000,5,0.251085,0.050217,0.0504966,0.00243241,1
2024-11-29-11:20:52,pointer <Lpoint> unsorted,10000000,neighSearch,Square,1,1000,5,0.37785,0.0755701,0.0743852,0.00226227,1
2024-11-29-11:20:54,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,2.5,1000,5,1.20227,0.240455,0.240776,0.0015118,1
2024-11-29-11:20:58,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,2.5,1000,5,4.35928,0.871855,0.289308,1.16635,1
2024-11-29-11:21:00,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,2.5,1000,5,1.413,0.282599,0.282206,0.00367734,1
2024-11-29-11:21:02,pointer <Lpoint> unsorted,10000000,neighSearch,Square,2.5,1000,5,1.67024,0.334049,0.333174,0.00370042,1
2024-11-29-11:21:08,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,5,1000,5,4.53896,0.907791,0.903811,0.00699448,1
2024-11-29-11:21:13,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,5,1000,5,4.71986,0.943972,0.938932,0.0087844,1
2024-11-29-11:21:20,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,5,1000,5,5.33852,1.0677,1.06355,0.0086367,1
2024-11-29-11:21:26,pointer <Lpoint> unsorted,10000000,neighSearch,Square,5,1000,5,5.35939,1.07188,1.06568,0.0114824,1
2024-11-29-11:21:48,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,10,1000,5,19.036,3.80721,3.22754,1.18808,1
2024-11-29-11:22:09,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,10,1000,5,18.0947,3.61894,3.03846,1.17191,1
2024-11-29-11:22:32,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,10,1000,5,18.6338,3.72676,3.73115,0.0186477,1
2024-11-29-11:22:55,pointer <Lpoint> unsorted,10000000,neighSearch,Square,10,1000,5,19.9153,3.98305,3.411,1.17698,1
2024-11-29-11:22:55,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,0.5,1000,5,0.0154679,0.00309358,0.00265274,0.0021982,1
2024-11-29-11:22:55,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,0.5,1000,5,0.0173984,0.00347968,0.00279977,0.0011845,1
2024-11-29-11:22:55,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,0.5,1000,5,0.0152325,0.00304649,0.00307428,0.000947368,1
2024-11-29-11:22:55,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,0.5,1000,5,0.0171726,0.00343451,0.00306779,0.00101082,1
2024-11-29-11:22:55,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,1,1000,5,0.0171964,0.00343928,0.00334845,0.000540738,1
2024-11-29-11:22:55,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,1,1000,5,0.0207694,0.00415388,0.00425582,0.000898207,1
2024-11-29-11:22:55,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,1,1000,5,0.0178766,0.00357532,0.00372524,0.00090489,1
2024-11-29-11:22:55,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,1,1000,5,0.0249322,0.00498644,0.00468385,0.00119727,1
