date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-11-29-10:53:53,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,10,1000,5,0.407213,0.0814426,0.0807786,0.00127459,1
2024-11-29-10:53:54,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,10,1000,5,0.356423,0.0712846,0.0716921,0.00103826,1
2024-11-29-10:53:54,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,10,1000,5,0.41047,0.082094,0.0822314,0.00244339,1
2024-11-29-10:53:55,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,10,1000,5,0.344182,0.0688365,0.0689381,0.00109037,1
2024-11-29-10:53:59,linear <Lpoint> ,10000000,neighSearch,Sphere,0.5,1000,5,0.0561835,0.0112367,0.0097341,0.00281785,1
2024-11-29-10:53:59,linear <Lpoint> ,10000000,neighSearch,Circle,0.5,1000,5,0.0796249,0.015925,0.0152502,0.00155666,1
2024-11-29-10:53:59,linear <Lpoint> ,10000000,neighSearch,Cube,0.5,1000,5,0.0385162,0.00770323,0.00778801,0.000294237,1
2024-11-29-10:54:00,linear <Lpoint> ,10000000,neighSearch,Square,0.5,1000,5,0.0883187,0.0176637,0.0175042,0.00084206,1
2024-11-29-10:54:00,linear <Lpoint> ,10000000,neighSearch,Sphere,1,1000,5,0.110515,0.022103,0.022076,0.000750082,1
2024-11-29-10:54:00,linear <Lpoint> ,10000000,neighSearch,Circle,1,1000,5,0.187081,0.0374161,0.0375841,0.00055366,1
2024-11-29-10:54:00,linear <Lpoint> ,10000000,neighSearch,Cube,1,1000,5,0.118961,0.0237921,0.0236809,0.000808217,1
2024-11-29-10:54:00,linear <Lpoint> ,10000000,neighSearch,Square,1,1000,5,0.191429,0.0382858,0.0381099,0.000578249,1
2024-11-29-10:54:01,linear <Lpoint> ,10000000,neighSearch,Sphere,2.5,1000,5,0.6434,0.12868,0.12877,0.00246571,1
2024-11-29-10:54:02,linear <Lpoint> ,10000000,neighSearch,Circle,2.5,1000,5,0.777067,0.155413,0.153215,0.00306651,1
2024-11-29-10:54:03,linear <Lpoint> ,10000000,neighSearch,Cube,2.5,1000,5,0.666676,0.133335,0.134126,0.00210922,1
2024-11-29-10:54:04,linear <Lpoint> ,10000000,neighSearch,Square,2.5,1000,5,0.818988,0.163798,0.163105,0.00381872,1
2024-11-29-10:54:07,linear <Lpoint> ,10000000,neighSearch,Sphere,5,1000,5,2.37029,0.474057,0.474851,0.00224248,1
2024-11-29-10:54:10,linear <Lpoint> ,10000000,neighSearch,Circle,5,1000,5,2.61821,0.523642,0.521924,0.00273441,1
2024-11-29-10:54:13,linear <Lpoint> ,10000000,neighSearch,Cube,5,1000,5,2.58005,0.51601,0.515577,0.00122063,1
2024-11-29-10:54:16,linear <Lpoint> ,10000000,neighSearch,Square,5,1000,5,2.81124,0.562248,0.56213,0.0039168,1
2024-11-29-10:54:26,linear <Lpoint> ,10000000,neighSearch,Sphere,10,1000,5,8.22145,1.64429,1.64545,0.00922428,1
2024-11-29-10:54:39,linear <Lpoint> ,10000000,neighSearch,Circle,10,1000,5,11.3666,2.27332,1.68744,1.17666,1
2024-11-29-10:54:50,linear <Lpoint> ,10000000,neighSearch,Cube,10,1000,5,9.02704,1.80541,1.81265,0.0105579,1
2024-11-29-10:55:01,linear <Lpoint> ,10000000,neighSearch,Square,10,1000,5,9.13287,1.82657,1.82626,0.00560499,1
2024-11-29-10:55:01,linear <Lpoint> ,10000000,numNeighSearch,Sphere,0.5,1000,5,0.0108442,0.00216884,0.00246436,0.000576007,1
2024-11-29-10:55:01,linear <Lpoint> ,10000000,numNeighSearch,Circle,0.5,1000,5,0.0124033,0.00248066,0.00205624,0.00105864,1
2024-11-29-10:55:01,linear <Lpoint> ,10000000,numNeighSearch,Cube,0.5,1000,5,0.0416726,0.00833452,0.00859985,0.00098105,1
2024-11-29-10:55:01,linear <Lpoint> ,10000000,numNeighSearch,Square,0.5,1000,5,0.0836001,0.01672,0.0158551,0.00190383,1
2024-11-29-10:55:01,linear <Lpoint> ,10000000,numNeighSearch,Sphere,1,1000,5,0.00769361,0.00153872,0.00163684,0.000301844,1
2024-11-29-10:55:01,linear <Lpoint> ,10000000,numNeighSearch,Circle,1,1000,5,0.00841677,0.00168335,0.00114581,0.000698876,1
2024-11-29-10:55:01,linear <Lpoint> ,10000000,numNeighSearch,Cube,1,1000,5,0.104728,0.0209457,0.019974,0.0016441,1
