date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-15:08:09,PCLOctree,Point,NoEncoding,29697591,neighborsPCLOct,sphere,0.01,10000,random,5,0.113959,0.0227918,0.0228337,0.000206783,1,0.0242793,70,0,40,dynamic,818472,879145,499867
2025-07-09-15:08:09,PCLOctree,Point,NoEncoding,29697591,neighborsPCLOct,sphere,0.05,10000,random,5,0.283622,0.0567244,0.056503,0.000463228,1,0.0578687,2018,0,40,dynamic,2432836,2389029,1222060
2025-07-09-15:08:10,PCLOctree,Point,NoEncoding,29697591,neighborsPCLOct,sphere,0.1,10000,random,5,0.587469,0.117494,0.117145,0.00130004,1,0.121078,8605,0,40,dynamic,5821932,5683409,2698228
2025-07-09-15:08:12,PCLOctree,Point,NoEncoding,29697591,neighborsPCLOct,sphere,0.2,10000,random,5,1.59812,0.319624,0.321714,0.00306555,1,0.32647,33559,0,40,dynamic,16349102,16653591,7392516
2025-07-09-15:08:25,PCLKDTree,Point,NoEncoding,29697591,neighborsPCLKD,sphere,0.01,10000,random,5,0.0470658,0.00941316,0.00937111,9.8776e-05,1,0.00893123,70,0,40,dynamic,82670,59367,37990
2025-07-09-15:08:25,PCLKDTree,Point,NoEncoding,29697591,neighborsPCLKD,sphere,0.05,10000,random,5,0.360651,0.0721303,0.0726235,0.00157577,1,0.0777492,2018,0,40,dynamic,1799549,993267,380128
2025-07-09-15:08:27,PCLKDTree,Point,NoEncoding,29697591,neighborsPCLKD,sphere,0.1,10000,random,5,1.44436,0.288871,0.289662,0.00197389,1,0.298521,8605,0,40,dynamic,8940277,6257791,1601420
2025-07-09-15:08:34,PCLKDTree,Point,NoEncoding,29697591,neighborsPCLKD,sphere,0.2,10000,random,5,5.99039,1.19808,1.20509,0.0150072,1,1.22028,33559,0,40,dynamic,39880429,32762058,10737591
2025-07-09-15:08:46,NanoflannKDTree,Point,NoEncoding,29697591,neighborsNanoflann,sphere,0.01,10000,random,5,0.023036,0.0046072,0.00388514,0.00144098,1,0.00618235,69,0,40,dynamic,108240,115752,86818
2025-07-09-15:08:46,NanoflannKDTree,Point,NoEncoding,29697591,neighborsNanoflann,sphere,0.05,10000,random,5,0.168022,0.0336044,0.0329624,0.00146709,1,0.0328495,2019,0,40,dynamic,1464470,1447741,785411
2025-07-09-15:08:46,NanoflannKDTree,Point,NoEncoding,29697591,neighborsNanoflann,sphere,0.1,10000,random,5,0.538692,0.107738,0.108108,0.000738867,1,0.109518,8606,0,40,dynamic,5312639,5556396,2625807
2025-07-09-15:08:49,NanoflannKDTree,Point,NoEncoding,29697591,neighborsNanoflann,sphere,0.2,10000,random,5,2.04695,0.40939,0.410525,0.00431194,1,0.419173,33560,0,40,dynamic,16262157,17653179,8880067
2025-07-09-15:09:00,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,circle,0.01,10000,random,5,0.261265,0.0522529,0.0523189,0.00041141,1,0.0552016,453,0,40,dynamic,997108,1444730,788253
2025-07-09-15:09:01,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,circle,0.05,10000,random,5,0.98075,0.19615,0.196219,0.00252126,1,0.201697,6312,0,40,dynamic,5504064,7416408,4159320
2025-07-09-15:09:04,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,circle,0.1,10000,random,5,2.34647,0.469294,0.467179,0.00596266,1,0.480306,20160,0,40,dynamic,14112447,18647469,10574680
2025-07-09-15:09:11,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,circle,0.2,10000,random,5,6.10711,1.22142,1.2174,0.0390068,1,1.30206,64026,0,40,dynamic,38797937,51929707,30080268
2025-07-09-15:09:11,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,sphere,0.01,10000,random,5,0.0372602,0.00745204,0.00745097,2.86413e-05,1,0.00900109,70,0,40,dynamic,248432,323981,193183
2025-07-09-15:09:12,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,sphere,0.05,10000,random,5,0.291601,0.0583202,0.0584861,0.000955084,1,0.05857,2065,0,40,dynamic,2087773,2704043,1591790
2025-07-09-15:09:13,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,sphere,0.1,10000,random,5,0.93656,0.187312,0.187871,0.00139764,1,0.188424,8553,0,40,dynamic,6809664,8743801,4987683
2025-07-09-15:09:17,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,sphere,0.2,10000,random,5,3.19222,0.638444,0.635036,0.00483161,1,0.639185,33083,0,40,dynamic,22692492,29533752,17288911
2025-07-09-15:09:17,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,square,0.01,10000,random,5,0.235864,0.0471728,0.0467486,0.00136284,1,0.0463226,517,0,40,dynamic,648865,922418,496979
2025-07-09-15:09:18,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,square,0.05,10000,random,5,0.822688,0.164538,0.164904,0.0022612,1,0.166149,7855,0,40,dynamic,5915849,7846558,4437603
2025-07-09-15:09:20,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,square,0.1,10000,random,5,2.01356,0.402713,0.400778,0.00283323,1,0.403956,24724,0,40,dynamic,15426411,20205227,11061263
2025-07-09-15:09:27,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,square,0.2,10000,random,5,5.72876,1.14575,1.14155,0.00906394,1,1.14827,78440,0,40,dynamic,39933915,52827944,30280769
2025-07-09-15:09:27,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,cube,0.01,10000,random,5,0.0559677,0.0111935,0.011587,0.000837583,1,0.0097761,77,0,40,dynamic,166614,214066,128107
2025-07-09-15:09:28,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,cube,0.05,10000,random,5,0.308654,0.0617307,0.0619577,0.00136723,1,0.0608033,3264,0,40,dynamic,1574331,1984266,1061365
2025-07-09-15:09:29,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,cube,0.1,10000,random,5,0.93756,0.187512,0.187696,0.00155577,1,0.189942,12690,0,40,dynamic,4846464,6193441,3359387
2025-07-09-15:09:33,Octree,Point,MortonEncoder3D,29697591,neighborsPtr,cube,0.2,10000,random,5,3.29508,0.659016,0.661385,0.00658628,1,0.6576,46867,0,40,dynamic,21445241,27799044,15802803
2025-07-09-15:09:34,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,circle,0.01,10000,random,5,0.142509,0.0285019,0.028451,0.00022001,1,0.0299925,453,0,40,dynamic,1061301,1318175,760030
2025-07-09-15:09:35,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,circle,0.05,10000,random,5,0.562555,0.112511,0.112929,0.00092996,1,0.11299,6312,0,40,dynamic,4354323,5250081,2846084
2025-07-09-15:09:36,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,circle,0.1,10000,random,5,1.42366,0.284733,0.285243,0.00265044,1,0.280011,20160,0,40,dynamic,11343143,13619365,7104015
2025-07-09-15:09:41,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,circle,0.2,10000,random,5,4.01584,0.803168,0.802634,0.00395591,1,0.807471,64026,0,40,dynamic,29757424,36181198,18950343
2025-07-09-15:09:41,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,circle,0.01,10000,random,5,0.130906,0.0261813,0.0262085,0.000269569,1,0.0269823,453,0,40,dynamic,1002108,1256617,752459
2025-07-09-15:09:42,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,circle,0.05,10000,random,5,0.37798,0.0755959,0.0756241,0.000347097,1,0.075608,6312,0,40,dynamic,3229427,3861357,1993741
2025-07-09-15:09:43,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,circle,0.1,10000,random,5,0.718009,0.143602,0.143713,0.00037615,1,0.144673,20160,0,40,dynamic,6590523,7741714,3592372
2025-07-09-15:09:45,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,circle,0.2,10000,random,5,1.58248,0.316497,0.316042,0.00202105,1,0.316563,64026,0,40,dynamic,12365743,14683506,6744106
2025-07-09-15:09:45,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,circle,0.01,10000,random,5,0.129058,0.0258116,0.0257547,0.000236008,1,0.0265972,453,0,40,dynamic,959876,1203792,740593
2025-07-09-15:09:45,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,circle,0.05,10000,random,5,0.354055,0.070811,0.0709098,0.000529387,1,0.069839,6312,0,40,dynamic,2270006,3056797,2003162
2025-07-09-15:09:46,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,circle,0.1,10000,random,5,0.591162,0.118232,0.118235,0.00106405,1,0.115497,20160,0,40,dynamic,3644146,4992167,3282752
2025-07-09-15:09:47,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,circle,0.2,10000,random,5,0.973785,0.194757,0.194615,0.00140352,1,0.197664,64026,0,40,dynamic,5917861,8208368,5407007
2025-07-09-15:09:47,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,sphere,0.01,10000,random,5,0.0410861,0.00821722,0.00865764,0.000868392,1,0.00666694,70,0,40,dynamic,178955,197747,131348
2025-07-09-15:09:47,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,sphere,0.05,10000,random,5,0.188268,0.0376536,0.0372243,0.000748865,1,0.0397785,2065,0,40,dynamic,1577968,1774951,987728
2025-07-09-15:09:48,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,sphere,0.1,10000,random,5,0.603675,0.120735,0.120964,0.000836882,1,0.120132,8553,0,40,dynamic,5261392,6045371,3120752
2025-07-09-15:09:51,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,sphere,0.2,10000,random,5,2.1485,0.4297,0.429588,0.00110603,1,0.429366,33083,0,40,dynamic,17739763,20912419,10829293
2025-07-09-15:09:51,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,sphere,0.01,10000,random,5,0.0179917,0.00359834,0.00358036,4.87182e-05,1,0.00439288,70,0,40,dynamic,136060,142283,94942
2025-07-09-15:09:51,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,sphere,0.05,10000,random,5,0.108796,0.0217592,0.0211731,0.00125777,1,0.0211469,2065,0,40,dynamic,957871,1027095,563474
2025-07-09-15:09:51,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,sphere,0.1,10000,random,5,0.254821,0.0509643,0.0507758,0.000335698,1,0.0502923,8553,0,40,dynamic,2795913,3024528,1274284
2025-07-09-15:09:52,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,sphere,0.2,10000,random,5,0.678468,0.135694,0.135342,0.000824177,1,0.132686,33083,0,40,dynamic,6839386,7684737,3014871
2025-07-09-15:09:52,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,sphere,0.01,10000,random,5,0.0204396,0.00408791,0.00365547,0.00087116,1,0.00408559,70,0,40,dynamic,126718,139070,97234
2025-07-09-15:09:52,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,sphere,0.05,10000,random,5,0.0992915,0.0198583,0.0198965,8.89861e-05,1,0.0197484,2065,0,40,dynamic,649907,830945,577357
2025-07-09-15:09:52,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,sphere,0.1,10000,random,5,0.218305,0.0436609,0.0436404,0.000302757,1,0.0434487,8553,0,40,dynamic,1333781,1773354,1217270
2025-07-09-15:09:53,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,sphere,0.2,10000,random,5,0.434549,0.0869098,0.0865925,0.00059843,1,0.0872736,33083,0,40,dynamic,2651701,3609859,2438204
2025-07-09-15:09:53,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,square,0.01,10000,random,5,0.134477,0.0268953,0.026873,0.000291349,1,0.0273103,517,0,40,dynamic,1120238,1376913,794449
2025-07-09-15:09:54,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,square,0.05,10000,random,5,0.546492,0.109298,0.109596,0.000673293,1,0.108517,7855,0,40,dynamic,4734486,5633383,2923977
2025-07-09-15:09:55,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,square,0.1,10000,random,5,1.4098,0.281959,0.282209,0.00269121,1,0.281582,24724,0,40,dynamic,12247323,14544339,7261900
2025-07-09-15:10:00,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,square,0.2,10000,random,5,4.08268,0.816536,0.813672,0.00723634,1,0.815958,78440,0,40,dynamic,31028090,37773448,19587293
2025-07-09-15:10:00,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,square,0.01,10000,random,5,0.130671,0.0261343,0.0262092,0.000143073,1,0.0264053,517,0,40,dynamic,1029945,1271110,753960
2025-07-09-15:10:01,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,square,0.05,10000,random,5,0.380368,0.0760737,0.0760104,0.000421252,1,0.0759605,7855,0,40,dynamic,3514542,4140073,2088941
2025-07-09-15:10:02,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,square,0.1,10000,random,5,0.757949,0.15159,0.151401,0.00189167,1,0.149123,24724,0,40,dynamic,7450769,8663947,3831259
2025-07-09-15:10:04,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,square,0.2,10000,random,5,1.69594,0.339187,0.339274,0.00230612,1,0.339435,78440,0,40,dynamic,13372208,15897131,7125768
2025-07-09-15:10:04,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,square,0.01,10000,random,5,0.128342,0.0256683,0.0256789,0.0001946,1,0.0263474,517,0,40,dynamic,964972,1200265,759163
2025-07-09-15:10:04,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,square,0.05,10000,random,5,0.341222,0.0682443,0.0684297,0.000387536,1,0.0685973,7855,0,40,dynamic,2283406,3071337,2018309
2025-07-09-15:10:05,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,square,0.1,10000,random,5,0.559816,0.111963,0.112091,0.000830133,1,0.113362,24724,0,40,dynamic,3610205,4965012,3220505
2025-07-09-15:10:06,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,square,0.2,10000,random,5,0.951972,0.190394,0.189855,0.00145538,1,0.191504,78440,0,40,dynamic,6053256,8493069,5570812
2025-07-09-15:10:06,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,cube,0.01,10000,random,5,0.0227284,0.00454568,0.00439478,0.000318975,1,0.00664245,77,0,40,dynamic,179330,193434,128790
2025-07-09-15:10:07,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,cube,0.05,10000,random,5,0.183508,0.0367016,0.0367485,0.000146441,1,0.0366417,3264,0,40,dynamic,1820636,1978868,1046314
2025-07-09-15:10:07,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,cube,0.1,10000,random,5,0.611591,0.122318,0.122375,0.000688787,1,0.122835,12690,0,40,dynamic,6101417,6833207,3266296
2025-07-09-15:10:10,LinearOctree,Point,MortonEncoder3D,29697591,neighbors,cube,0.2,10000,random,5,2.1982,0.439639,0.43967,0.00651281,1,0.439981,46867,0,40,dynamic,12551235,15154516,6858248
2025-07-09-15:10:10,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,cube,0.01,10000,random,5,0.022214,0.0044428,0.00428729,0.000317237,1,0.00661143,77,0,40,dynamic,108009,116356,75819
2025-07-09-15:10:10,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,cube,0.05,10000,random,5,0.122798,0.0245596,0.0245127,0.0001317,1,0.0244403,3264,0,40,dynamic,814736,874876,424695
2025-07-09-15:10:10,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,cube,0.1,10000,random,5,0.293194,0.0586388,0.0584592,0.000518988,1,0.0581634,12690,0,40,dynamic,2475718,2680091,1011676
2025-07-09-15:10:11,LinearOctree,Point,MortonEncoder3D,29697591,neighborsPrune,cube,0.2,10000,random,5,0.801053,0.160211,0.162098,0.00328321,1,0.154353,46867,0,40,dynamic,6284869,7105328,2547488
2025-07-09-15:10:11,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,cube,0.01,10000,random,5,0.0216912,0.00433825,0.00429628,9.55754e-05,1,0.00510994,77,0,40,dynamic,105154,118215,79013
2025-07-09-15:10:12,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,cube,0.05,10000,random,5,0.112928,0.0225856,0.0226231,0.000153841,1,0.0224272,3264,0,40,dynamic,462972,599758,394834
2025-07-09-15:10:12,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,cube,0.1,10000,random,5,0.233926,0.0467851,0.0468393,0.000321882,1,0.0465197,12690,0,40,dynamic,950740,1291335,837293
2025-07-09-15:10:12,LinearOctree,Point,MortonEncoder3D,29697591,neighborsStruct,cube,0.2,10000,random,5,0.459415,0.0918831,0.0919114,0.000335188,1,0.0918333,46867,0,40,dynamic,1802435,2513498,1600061
2025-07-09-15:10:16,UnibnOctree,Point,MortonEncoder3D,29697591,neighborsUnibn,sphere,0.01,10000,random,5,0.0262026,0.00524052,0.00491702,0.000671059,1,0.00514925,70,0,40,dynamic,129843,148964,97344
2025-07-09-15:10:16,UnibnOctree,Point,MortonEncoder3D,29697591,neighborsUnibn,sphere,0.05,10000,random,5,0.120881,0.0241762,0.0240935,0.000254921,1,0.0244948,2065,0,40,dynamic,613419,734467,442557
2025-07-09-15:10:16,UnibnOctree,Point,MortonEncoder3D,29697591,neighborsUnibn,sphere,0.1,10000,random,5,0.27092,0.0541841,0.0543138,0.00035702,1,0.0547795,8553,0,40,dynamic,1646739,1974839,1028621
2025-07-09-15:10:17,UnibnOctree,Point,MortonEncoder3D,29697591,neighborsUnibn,sphere,0.2,10000,random,5,0.608112,0.121622,0.121288,0.000938079,1,0.122183,33083,0,40,dynamic,4855681,5677090,2668309
2025-07-09-15:10:17,UnibnOctree,Point,MortonEncoder3D,29697591,neighborsUnibn,cube,0.01,10000,random,5,0.0256122,0.00512244,0.0051158,3.40695e-05,1,0.00672253,77,0,40,dynamic,138911,158993,106487
2025-07-09-15:10:17,UnibnOctree,Point,MortonEncoder3D,29697591,neighborsUnibn,cube,0.05,10000,random,5,0.145632,0.0291265,0.0303855,0.00193372,1,0.025654,3264,0,40,dynamic,819697,971866,538713
2025-07-09-15:10:18,UnibnOctree,Point,MortonEncoder3D,29697591,neighborsUnibn,cube,0.1,10000,random,5,0.311955,0.0623909,0.06261,0.000772072,1,0.0613844,12690,0,40,dynamic,2154478,2536525,1254094
2025-07-09-15:10:18,UnibnOctree,Point,MortonEncoder3D,29697591,neighborsUnibn,cube,0.2,10000,random,5,0.685992,0.137198,0.135251,0.00264661,1,0.140611,46867,0,40,dynamic,5950309,6866696,3106524
2025-07-09-15:10:26,PCLOctree,Point,MortonEncoder3D,29697591,neighborsPCLOct,sphere,0.01,10000,random,5,0.1059,0.02118,0.0210486,0.000428921,1,0.0230571,71,0,40,dynamic,760430,836744,462772
2025-07-09-15:10:26,PCLOctree,Point,MortonEncoder3D,29697591,neighborsPCLOct,sphere,0.05,10000,random,5,0.261257,0.0522513,0.0524974,0.000582609,1,0.0530318,2064,0,40,dynamic,2425497,2426440,1257577
2025-07-09-15:10:27,PCLOctree,Point,MortonEncoder3D,29697591,neighborsPCLOct,sphere,0.1,10000,random,5,0.544503,0.108901,0.10872,0.00108889,1,0.108878,8552,0,40,dynamic,5896028,5826628,2571652
2025-07-09-15:10:29,PCLOctree,Point,MortonEncoder3D,29697591,neighborsPCLOct,sphere,0.2,10000,random,5,1.44982,0.289964,0.288423,0.00292017,1,0.291091,33083,0,40,dynamic,15938803,16302255,7363608
2025-07-09-15:10:42,PCLKDTree,Point,MortonEncoder3D,29697591,neighborsPCLKD,sphere,0.01,10000,random,5,0.0500296,0.0100059,0.0116003,0.00211369,1,0.00847736,71,0,40,dynamic,86696,61856,40427
2025-07-09-15:10:42,PCLKDTree,Point,MortonEncoder3D,29697591,neighborsPCLKD,sphere,0.05,10000,random,5,0.376138,0.0752276,0.0751783,0.00247294,1,0.0842306,2064,0,40,dynamic,1828422,1096260,395431
